A0A0A0,47.05564 ,-53.201979
A0A0A4,47.487036,-53.086027
A0A7C8,47.487036,-53.086027
A0A7E6,47.487036,-53.086027
C3E9F9,         ,0
A0A8B8,47.487036,-53.086027
E8F0F6,         ,0
A0B2Y0,47.241041,-53.961076
A0B5X4,47.51339 ,-53.659099
A0C0B7,48.421195,-53.581586
A0C0E7,48.421195,-53.581586
A0C1A2,48.421195,-53.581586
A0C5A4,48.421195,-53.581586
A0C6F1,48.421195,-53.581586
B2B2B2,         ,0
A0C7D3,48.421195,-53.581586
A9A8A8,         ,0
E5F2F5,         ,0
A0E1E0,47.060013,-55.17606
A0E1J0,48.156554,-53.970087
A0E1R0,49.056682,-58.167184
C1F5D2,         ,0
A0E2M0,47.164263,-55.16231
A0E3E6,47.406304,-54.886839
A0E4F8,47.406304,-54.886839
A0E6E7,47.406304,-54.886839
A0E7A7,47.406304,-54.886839
E9F3F5,         ,0
B1F1A7,         ,0
C0C7C6,         ,0
A0E7F0,47.406304,-54.886839
A0G2A0,49.295774,-55.037307
A0G3A0,49.244762,-55.058152
A0H1P0,47.475682,-55.818685
A0J1J0,49.437881,-56.474819
C5C3C3,         ,0
C8E1D6,         ,0
E9F4D9,         ,0
A0J1T0,49.50233 ,-56.063501
A0K4S0,51.366916,-55.585223
A0K5O7,50.735379,-56.60979
A0K8K6,50.735379,-56.60979
A0M1C0,47.574034,-59.148764
A0N2J0,47.521366,-57.389639
C0C0C0,         ,0
E8D2B7,         ,0
B2D6A6,         ,0
C3C7C9,         ,0
C5E7F2,         ,0
E0O1M9,         ,0
C4B8C3,         ,0
A0N4C9,48.148652,-58.618482
E3O1M9,         ,0
A0P1E0,53.306893,-60.326251
A0P1G0,55.460468,-60.197857
A0P8L8,54.215886,-60.249066
A1A1A1,47.570411,-52.698467
E5O1M9,         ,0
E4O1M9,         ,0
A1A2A4,47.588149,-52.702976
A1A2Y5,47.599898,-52.707585
A3A8C3,         ,0
A1A5A1,47.604644,-52.736169
A1B0B5,47.571239,-52.770652
A1B1R6,47.580877,-52.714913
A1B1Y1,47.582405,-52.719226
A1B2C3,47.563354,-52.755051
A1B2E7,47.589057,-52.725438
A1B3V6,47.563221,-52.742982
A1F7D9,         ,0
A1B3X3,47.555473,-52.767062
A1B4J6,47.580561,-52.725556
A1B4J9,47.582285,-52.7087
A1B4K4,47.562961,-52.746544
A1B5D6,47.570955,-52.739548
A1B6B3,47.570955,-52.739548
A1C2H1,47.561193,-52.717194
A1C2W6,47.564162,-52.722673
A1C3F0,47.563989,-52.715109
A1C4F0,47.563989,-52.715109
A1C5S7,47.571643,-52.722832
C3C3C3,         ,0
A1C5X1,47.565121,-52.691193
A1C6J9,47.568789,-52.717831
A1C7A0,47.563989,-52.715109
A1C8F5,47.563989,-52.715109
C5B6C5,         ,0
A1C9C0,47.563989,-52.715109
A1E1W6,47.555836,-52.74039
A1E2A1,47.543112,-52.732698
A1E2E3,47.526087,-52.768919
B6E5F9,         ,0
A3E5B3,         ,0
A1E3A4,47.550534,-52.729918
A1E4F9,47.539302,-52.74861
C4E9E5,         ,0
A1E4N1,47.541606,-52.733387
A1E4S6,47.517346,-52.759868
A1E7E7,47.539302,-52.74861
E7F5A0,         ,0
C8C6E5,         ,0
A9C7D7,         ,0
A1E8A4,47.539302,-52.74861
A1E8C2,47.539302,-52.74861
A1K1A7,47.65941 ,-52.720619
C8A5E9,         ,0
C6A7B8,         ,0
A1K1J2,47.658453,-52.748219
G8F8F8,         ,0
A6F2A0,         ,0
A1M0Y3,47.601148,-52.848962
C2D1A1,         ,0
A1M2Q3,47.601148,-52.848962
A1M2Y4,47.617183,-52.837033
A1N2A7,47.51565 ,-52.813673
A1N2E0,47.51658 ,-52.808661
A1N4S9,47.518853,-52.844292
C6B1F7,         ,0
A1V1A9,48.960525,-54.627009
A1V1W6,48.957281,-54.603366
A3B6D7,         ,0
A1V1W8,48.957264,-54.601334
A1W3A6,47.517353,-52.95954
A1W3J1,47.516286,-52.9609
A1Y0I8,47.733679,-53.206285
B8D3E2,         ,0
A1Y1A7,47.735166,-53.239642
A1Y1B6,47.73999 ,-53.227945
A1Y1C3,47.739695,-53.227402
A2A1H6,48.929861,-55.655718
A2A2A2,48.933257,-55.659457
A2A2A3,48.933695,-55.659084
A8E8C9,         ,0
A2A2A8,48.933471,-55.654398
A2A2J4,48.948019,-55.676434
A2A2P9,48.953541,-55.63074
A2A2S8,48.945734,-55.653755
C4C4C4,         ,0
A2A3A4,48.938101,-55.650687
B2B1B0,         ,0
A2A8S3,48.938101,-55.650687
A2B1F5,48.952943,-55.66551
A2B2F4,48.952943,-55.66551
A2E6A4,         ,0
A2B5E3,48.952943,-55.66551
A2B8F6,48.952943,-55.66551
A2H2X1,48.950498,-57.94176
A2H5I1,48.950863,-57.954762
A2H5M7,48.942167,-57.948562
A2H6C7,48.965331,-57.84843
A2H6E7,48.948075,-57.941151
A2H7J4,48.953802,-57.944905
A6A6A6,         ,0
A2N2Y7,48.545432,-58.594836
C6D1C2,         ,0
A2N2Z4,48.548953,-58.573933
A5F7A2,         ,0
A2V2G7,52.944463,-66.924841
C3B7D1,         ,0
A2V2K7,52.943896,-66.893662
A5A0B3,48.187096,-53.997281
A5A0N5,48.168664,-53.972592
A5A1Y9,48.165073,-53.978028
A5A2A5,48.158427,-53.965324
A5A4R2,48.147458,-53.951031
A5A5A5,48.168664,-53.972592
A5A6A6,48.168664,-53.972592
A5A8A1,48.168664,-53.972592
A5A8B1,48.168664,-53.972592
A5A8E1,48.168664,-53.972592
A5A8F1,48.168664,-53.972592
A5A9B2,48.168664,-53.972592
A8A2A2,49.184794,-57.419574
H8F8F8,         ,0
